datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,DUQ,1438
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,DOM,9804
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,COMED,9511
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,DAYTON,1727
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,FE,6688
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,DEOK,2801
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,EKPC,1470
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,PJME,26162
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,PJMW,5094
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,AEP,12748
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,DUQ,1434
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,DOM,9629
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,COMED,9459
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,DAYTON,1675
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,FE,6601
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,DEOK,2725
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,EKPC,1436
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,PJME,25880
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,PJMW,4971
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,AEP,12488
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,DUQ,1418
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,DOM,9482
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,COMED,9367
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,DAYTON,1650
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,FE,6497
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,DEOK,2686
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,EKPC,1411
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,PJME,25846
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,PJMW,4856
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,AEP,12343
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,DUQ,1405
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,DOM,9443
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,COMED,9328
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,DAYTON,1653
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,FE,6446
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,DEOK,2667
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,EKPC,1412
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,PJME,26250
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,PJMW,4840
1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,AEP,12712
1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,DUQ,1446
1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,DOM,9865
1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,COMED,9428
1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,DAYTON,1693
1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,FE,6619
1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,DEOK,2754
1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,EKPC,1406
1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,PJME,27854
1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,PJMW,4985
1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,AEP,13611
1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,DUQ,1557
1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,DOM,10871
1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,COMED,10134
1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,DAYTON,1827
1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,FE,7217
1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,DEOK,2978
1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,EKPC,1475
